Reference,Complete Reference
[24465] LIU BIAO (2021),"[24465] LIU BIAO, WU JING-HUA, LI HUAN, MATHUR R., WU QIAN-HONG, ZHENG HAN, JIANG JIANG-BO:    LATE PALEOZOIC TECTONIC EVOLUTION OF THE KANGGUER SHEAR ZONE AND YAMANSU ARC BELT, EASTERN TIANSHAN (NW CHINA): CONSTRAINTS FROM STRUCTURE, PETROGENESIS AND GEOCHRONOLOGY OF GRANITOIDS    LITHOS 380-381 (105821)  [2021]     doi: 10.1016/j.lithos.2020.105821"
[24485] LIU CHAOHUI (2021),"[24485] LIU CHAOHUI, ZHAO GUOCHUN, LIU FULAI, XU WANG:    COEXISTENCE OF A- AND I-TYPE GRANITES IN THE LÜLIANG COMPLEX: TECTONIC IMPLICATIONS FOR THE MIDDLE PALEOPROTEROZOIC TRANS-NORTH CHINA OROGEN, NORTH CHINA CRATON    LITHOS 380-381 (105875)  [2021]     doi: 10.1016/j.lithos.2020.105875"
[24494] KONG HUA (2021),"[24494] KONG HUA, WU JING-HUA, LI HUAN, CHEN SHE-FA, LIU BIAO, WANG GAO:    EARLY PALEOZOIC TECTONIC EVOLUTION OF THE SOUTH CHINA BLOCK: CONSTRAINTS FROM GEOCHEMISTRY AND GEOCHRONOLOGY OF GRANITOIDS IN HUNAN PROVINCE    LITHOS 380-381 (105891)  [2021]     doi: 10.1016/j.lithos.2020.105891"
[24509] REHMAN H.-U. (2021),"[24509] REHMAN H.-U., LEE HAO-YANG, KHAN T., CHUNG SUN-LIN, JAN M. Q., ZAFAR T., MURATA M.:    PETROGENETIC SOURCE AND TECTONIC EVOLUTION OF THE NEOPROTEROZOIC NAGAR PARKAR IGNEOUS COMPLEX GRANITOIDS: EVIDENCE FROM ZIRCON HF ISOTOPE AND TRACE ELEMENT GEOCHEMISTRY    PREC. RESEARCH 354 (106047)  [2021]     doi: 10.1016/j.precamres.2020.106047"
[24558] ZHU JIANG (2021),"[24558] ZHU JIANG, ZHANG ZHAOCHONG, SANTOSH M., TAN SHU-CHENG, JIN ZILIANG:    SUBMARINE BASALTIC ERUPTIONS ACROSS THE GUADALUPIAN-LOPINGIAN TRANSITION IN THE EMEISHAN LARGE IGNEOUS PROVINCE: IMPLICATION FOR END-GUADALUPIAN EXTINCTION OF MARINE BIOTA    GONDWANA RES. 92   [2021]  228-238    doi: 10.1016/j.gr.2020.12.025"
[24598] SADIQ I. (2021),"[24598] SADIQ I., PAN FABIN, ZHANG HONGFEI, LI CHUN-FENG, LUO BI-JI, ARIF M.:    RECYCLING OF SUBDUCTED INDIAN CONTINENTAL CRUST AND ITS SIGNIFICANCE ON POST-COLLISIONAL ULTRAPOTASSIC MAGMATISM IN SOUTHWESTERN TIBET    CONTRIB. MINERAL. PETROL. 176 (20)  [2021]     doi: 10.1007/s00410-021-01779-4"
[24610] WALL C. J. (2021),"[24610] WALL C. J., HANSON R. E., SCHMITZ M. D., PRICE J. D., DONOVAN R. N., BORO J. R., ESCHBERGER A. M., TOEWS C. E.:    INTEGRATING ZIRCON TRACE-ELEMENT GEOCHEMISTRY AND HIGH-PRECISION U-PB ZIRCON GEOCHRONOLOGY TO RESOLVE THE TIMING AND PETROGENESIS OF THE LATE EDIACARAN-CAMBRIAN WICHITA IGNEOUS PROVINCE, SOUTHERN OKLAHOMA AULACOGEN, USA    GEOLOGY 49   [2021]  268-272    doi: 10.1130/G48140.1"
[24624] BINDEMAN I. N. (2021),"[24624] BINDEMAN I. N., COLON D. P., WOTZLAW J.-F., STERN R., CHIARADIA M., GUILLONG M.:    YOUNG SILICIC MAGMATISM OF THE GREATER CAUCASUS, RUSSIA, WITH IMPLICATION FOR ITS DELAMINATION ORIGIN BASED ON ZIRCON PETROCHRONOLOGY AND THERMOMECHANICAL MODELING    J. VOLCANOL. GEOTHERM. RES. 412 (107173)  [2021]     doi: 10.1016/j.jvolgeores.2021.107173"
[24633] DOROSHKEVICH A. G. (2021),"[24633] DOROSHKEVICH A. G., SHARYGIN V. V., BELOUSOVA E. A., IZBRODIN I. A., PROKOPYEV I. R.:    ZIRCON FROM THE CHUKTUKON ALKALINE ULTRAMAFIC CARBONATITE COMPLEX (CHADOBETS UPLIFT, SIBERIAN CRATON) AS EVIDENCE OF SOURCE HETEROGENEITY    LITHOS 382-383 (105957)  [2021]     doi: 10.1016/j.lithos.2020.105957"
[24637] HUANG XIGUANG (2021),"[24637] HUANG XIGUANG, DOU JINGZHAO, WU GUANGHUI, HE JUN, SIEBEL W., CHEN FUKUN:    SOURCE ROCKS CONTROL THE GEOCHEMICAL DIVERSITY OF GRANITE: THE LINCANG PLUTON IN THE WESTERN YUNNAN TETHYAN BELT, SW CHINA    LITHOS 382-383 (105950)  [2021]     doi: 10.1016/j.lithos.2020.105950"
[24690] JARA J. J. (2021),"[24690] JARA J. J., BARRA F., REICH M., MORATA D., LEISEN M., ROMERO R.:    GEOCHRONOLOGY AND PETROGENESIS OF INTRUSIVE ROCKS IN THE COASTAL CORDILLERA OF NORTHERN CHILE: INSIGHTS FROM ZIRCON U-PB DATING AND TRACE ELEMENT GEOCHEMISTRY    GONDWANA RES. 93   [2021]  48-72    doi: 10.1016/j.gr.2021.01.007"
[24759] GUO CHUNLI (2020),"[24759] GUO CHUNLI, WILDE S. A., HENDERSON R. A., LI QIULI, YIN BING:    COGENETIC DYKES THE KEY TO IDENTIFYING DIVERSE MAGMA BATCHES IN THE ASSEMBLY OF GRANITIC PLUTONS    J. PETROL. 61 (EGAA105)  [2020]     doi: 10.1093/petrology/egaa105"
