Reference,Complete Reference
[18638] CAI KEDA (2014),"[18638] CAI KEDA, SUN MIN, XIAO WENJIAO, YUAN CHAO, ZHAO GUOCHUN, LONG XIAOPING, TUMURKHUU D., ZHOU KEFA:    PETROGENESIS OF LATE PALEOZOIC THOLEIITIC, NB-ENRICHED, CALC-ALKALINE AND ADAKITIC ROCKS IN SOUTHWESTERN MONGOLIA: IMPLICATIONS FOR INTRA-OCEANIC ARC EVOLUTION    LITHOS 202-203   [2014]  413-428    doi: 10.1016/j.lithos.2014.06.004"
[19206] COOMBS M. L. (2014),"[19206] COOMBS M. L., VAZQUEZ J. A.:    COGENETIC LATE PLEISTOCENE RHYOLITE AND CUMULATE DIORITES FROM AUGUSTINE VOLCANO REVEALED BY SIMS 238U-230TH DATING OF ZIRCON, AND IMPLICATIONS FOR SILICIC MAGMA GENERATION BY EXTRACTION FROM MUSH    GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 15   [2014]  4846-4865    doi: 10.10025/2014GC005589"
[19382] COLON D. P. (2015),"[19382] COLON D. P., BINDEMAN I. N., ELLIS B. S., SCHMITT A. K., FISHER C. M.:    HYDROTHERMAL ALTERATION AND MELTING OF THE CRUST DURING THE COLUMBIA RIVER BASALT-SNAKE RIVER PLAIN TRANSITION AND THE ORIGIN OF LOW-D18O RHYOLITES OF THE CENTRAL SNAKE RIVER PLAIN    LITHOS 224-225   [2015]  310-323    doi: 10.1016/J.LITHOS.2015.02.022"
[19470] DEY S. (2015),"[19470] DEY S., NANDY J., CHOUDHARY A. K., LIU YONG-SHENG, ZONG KEQING:    NEOARCHAEAN CRUSTAL GROWTH BY COMBINED ARC-PLUME ACTION: EVIDENCE FROM THE KADIRI GREENSTONE BELT, EASTERN DHARWAR CRATON, INDIA    SPEC. PUBL. GEOL. SOC. LONDON 389   [2015]  135-163    doi: 10.1144/SP389.3"
[19732] LIU LEI (2015),"[19732] LIU LEI, YANG XIAO-YONG, PANDIT M. K., AULBACH S., ZHOU HONGYING, GENG JIANZHEN, SUN WEI-DONG:    NEOPROTEROZOIC INTRAPLATE CRUSTAL ACCRETION ON THE NORTHERN MARGIN OF THE YANGTZE BLOCK: EVIDENCE FROM GEOCHEMISTRY, ZIRCON SHRIMP U-PB DATING AND HF ISOTOPES FROM THE FUCHASHAN COMPLEX    PREC. RESEARCH 268   [2015]  97-114    GeoReM-id: 8727   doi: 10.1016/j.precamres.2015.07.004"
[19775] STELTEN M. E. (2015),"[19775] STELTEN M. E., COOPER KARI M., VAZQUEZ J. A., CALVERT A. T., GLESSNER J. G.:    MECHANISMS AND TIMESCALES OF GENERATING ERUPTIBLE RHYOLITIC MAGMAS AT YELLOWSTONE CALDERA FROM ZIRCON AND SANIDINE GEOCHRONOLOGY AND GEOCHEMISTRY    J. PETROL. 56   [2015]  1607-1642    GeoReM-id: 8626   doi: 10.1093/petrology/egv047"
[19822] FARAMARZI N. S. (2015),"[19822] FARAMARZI N. S., AMINI S., SCHMITT A. K., HASSANZADEH J., BORG G., MCKEEGAN KEVIN D., RAZAVI S. M. H., FAGNY S. M.:    GEOCHRONOLOGY AND GEOCHEMISTRY OF RHYOLITES FROM HORMUZ ISLAND, SOUTHERN IRAN: A NEW RECORD OF CADOMIAN ARC MAGMATISM IN THE HORMUZ FORMATION    LITHOS 236-237   [2015]  203-211    doi: 10.1016/j.lithos.2015.08.017"
[20418] ZHAO LIANG (2016),"[20418] ZHAO LIANG, GUO FENG, FAN WEI-MING, ZHANG QINGWEN, WU YANGMING, LI JINGYAN, YAN WEN:    EARLY CRETACEOUS POTASSIC VOLCANIC ROCKS IN THE JIANGNAN OROGENIC BELT, EAST CHINA: CRUSTAL MELTING IN RESPONSE TO SUBDUCTION OF THE PACIFIC-IZANAGI RIDGE?    CHEM. GEOL. 437   [2016]  30-43    GeoReM-id: 9211   doi: 10.1016/j.chemgeo.2016.05.011"
[20439] VELASCO-TAPIA F. (2016),"[20439] VELASCO-TAPIA F., MARTINEZ-PACO M., IRIONDO A., OCAMPO-DIAZ Y. Z. E., CRUZ-GAMEZ E. M., RAMOS-LEDEZMA A., ANDAVERDE J. A., OSTROOUMOV M., MASUCH D.:    ALTERED VOLCANIC ASH LAYERS OF THE LATE CRETACEOUS SAN FELIPE FORMATION, SIERRA MADRE ORIENTAL (NORTHEASTERN MEXICO): U-PB GEOCHRONOLOGY, PROVENANCE AND TECTONIC SETTING    J. S. AMER. EARTH SCI. 70   [2016]  18-35    doi: 10.1016/j.jsames.2016.04.010"
[20477] WANG RUI (2016),"[20477] WANG RUI, COLLINS W. J., WEINBERG R. F., LI JINXIANG, LI QIU-YUN, HE WEN-YAN, RICHARDS J. P., HOU ZENGQIAN, ZHOU LI-MIN, STERN R. A.:    XENOLITHS IN ULTRAPOTASSIC VOLCANIC ROCKS IN THE LHASA BLOCK: DIRECT EVIDENCE FOR CRUST-MANTLE MIXING AND METAMORPHISM IN THE DEEP CRUST    CONTRIB. MINERAL. PETROL. 171 (62)  [2016]     doi: 10.1007/s00410-016-1272-6"
