Analysis,Lithology (Name given by cited author),Lithology (Lithology Code see explanati...),Description (Data Type),Reference,Th [mg/kg],U [mg/kg],La [mg/kg],Ce [mg/kg],Pr [mg/kg],Sr [mg/kg],Nd [mg/kg],Sm [mg/kg],Eu [mg/kg],Gd [mg/kg],Tb [mg/kg],Dy [mg/kg],Y [mg/kg],Ho [mg/kg],Er [mg/kg],Tm [mg/kg],Yb [mg/kg],Lu [mg/kg],Mn [mg/kg],Ba [mg/kg],Sm norm,Eu norm,Gd norm,Tb norm,Eu norm (Anom Arithmetic),Eu norm (EuAnom Shields and Stille (2...),Eu norm (EuAnom Lawrence and Kamber (2...),LREE norm (La-Nd),Sr/Y,Imputed_Tb,Imputed_Dy,Imputed_Tm,Imputed_Y,Imputed_Ho,Imputed_Nd,Imputed_Er,Imputed_La,Imputed_Pr,Imputed_Sm,Imputed_Gd,Imputed_Yb,Imputed_Lu
GraniteSquirrel1,Mafic I-type granite,IM,Average,Belousova et al. 2001,121,27,2363,3988,393,134,1347,194,23,177,,148,958,29,85,12,79,13,203,,1310.8,408.5,889.4,,0.371,0.378,,8091,0.14,NA,148,12,958,29,1347,85,2363,393,194,177,79,13
GraniteSquirrel2,Mafic I-type granite,IM,Average,Belousova et al. 2001,110,37,1976,3790,372,108,1210,166,24,147,,116,868,25,78,11,80,15,222,,1121.6,426.3,738.7,,0.458,0.468,,7348,0.124,NA,116,11,868,25,1210,78,1976,372,166,147,80,15
GraniteSquirrel3,Mafic I-type granite,IM,Average,Belousova et al. 2001,85,36,1790,4036,446,88,1492,212,27,177,,140,1054,32,90,14,95,16,220,,1432.4,479.6,889.4,,0.413,0.425,,7764,0.083,NA,140,14,1054,32,1492,90,1790,446,212,177,95,16
GraniteSquirrel4,Mafic I-type granite,IM,Average,Belousova et al. 2001,46,7,1389,3972,554,50,2335,477,25,480,,358,2649,72,201,29,198,33,159,,3223,444,2412.1,,0.158,0.159,,8250,0.019,NA,358,29,2649,72,2335,201,1389,554,477,480,198,33
GraniteSquirrel5,Mafic I-type granite,IM,Average,Belousova et al. 2001,209,26,3329,4938,477,218,1615,219,40,195,,135,829,28,73,9,57,10,340,,1479.7,710.5,979.9,,0.578,0.59,,10359,0.263,27.09343686,135,9,829,28,1615,73,3329,477,219,195,57,10
GraniteWimburu1,Mafic I-type granite,IM,Average,Belousova et al. 2001,142,28,2562,6259,696,46,2261,335,26,306,,247,1795,54,159,23,163,27,393,,2263.5,461.8,1537.7,,0.243,0.248,,11778,0.026,NA,247,23,1795,54,2261,159,2562,696,335,306,163,27
GraniteWimburu2,Mafic I-type granite,IM,Average,Belousova et al. 2001,158,59,2230,3959,394,145,1274,161,31,146,,109,828,25,73,10,73,14,221,,1087.8,550.6,733.7,,0.605,0.616,,7857,0.175,NA,109,10,828,25,1274,73,2230,394,161,146,73,14
GraniteWimburu3,Mafic I-type granite,IM,Average,Belousova et al. 2001,109,39,1639,3282,354,170,1210,171,29,159,,127,939,28,84,12,89,18,130,,1155.4,515.1,799,,0.527,0.536,,6485,0.181,NA,127,12,939,28,1210,84,1639,354,171,159,89,18
GraniteWimburu4,Mafic I-type granite,IM,Average,Belousova et al. 2001,63,17,1478,1857,154,342,447,56,12,52,,41,267,8,21,2,19,2,320,,378.4,213.1,261.3,,0.666,0.678,,3936,1.281,7.065314962,41,2,267,8,447,21,1478,154,56,52,19,2
GraniteMtAngelay1,Mafic I-type granite,IM,Average,Belousova et al. 2001,64,14,1628,3641,431,218,1589,241,24,207,,147,896,31,83,10,66,11,81,,1628.4,426.3,1040.2,,0.319,0.328,,7289,0.243,29.35383656,147,10,896,31,1589,83,1628,431,241,207,66,11
GraniteMtAngelay2,Mafic I-type granite,IM,Average,Belousova et al. 2001,26,35,1814,2703,235,229,728,93,16,102,,89,516,19,53,6,37,6,101,,628.4,284.2,512.6,,0.498,0.501,,5480,0.444,15.61077393,89,6,516,19,728,53,1814,235,93,102,37,6
GraniteMtAngelay3,Mafic I-type granite,IM,Average,Belousova et al. 2001,210,60,3161,6732,598,160,1844,169,28,125,,86,704,19,58,9,75,14,193,,1141.9,497.3,628.1,,0.562,0.587,,12335,0.227,NA,86,9,704,19,1844,58,3161,598,169,125,75,14
Jiuzhou,S-type Granite,S,Average,Hsieh et al. 2008,,,420,1426,229,65.3,1123,472,2.93,605,121,732,3698,137,323,41.1,244,29.7,3074,,3189.2,52,3040.2,3351.8,0.017,0.017,0.016,3198,0.018,121,732,41.1,3698,137,1123,323,420,229,472,605,244,29.7
Taima,S-type Granite,S,Average,Hsieh et al. 2008,,,749,2338,323,48.7,1395,529,2.01,647,137,893,4391,175,438,57.7,347,40.7,3313,,3574.3,35.7,3251.3,3795,0.01,0.01,0.01,4805,0.011,137,893,57.7,4391,175,1395,438,749,323,529,647,347,40.7
PUMai1,S-type Granite,S,Average,Hsieh et al. 2008,,,391,1328,210,49.9,987,420,3.85,503,108,694,3372,139,365,50.6,324,40.9,2448,,2837.8,68.4,2527.6,2991.7,0.025,0.026,0.024,2916,0.015,108,694,50.6,3372,139,987,365,391,210,420,503,324,40.9
PUMai2,S-type Granite,S,Average,Hsieh et al. 2008,,,369,1179,195,60.7,995,454,6.23,583,131,792,3722,142,336,43,266,31,2403,,3067.6,110.7,2929.6,3628.8,0.037,0.037,0.034,2738,0.016,131,792,43,3722,142,995,336,369,195,454,583,266,31
Nadong1,S-type Granite,S,Average,Hsieh et al. 2008,,,597,1990,312,47.8,1582,622,2.48,827,167,1030,5384,202,500,58.6,326,35.9,2773,,4202.7,44,4155.8,4626,0.011,0.011,0.01,4481,0.009,167,1030,58.6,5384,202,1582,500,597,312,622,827,326,35.9
Nadong2,S-type Granite,S,Average,Hsieh et al. 2008,,,606,1881,301,27.9,1554,675,30.5,876,184,1121,5974,217,524,63.6,365,41.2,8116,,4560.8,541.7,4402,5097,0.121,0.121,0.114,4342,0.005,184,1121,63.6,5974,217,1554,524,606,301,675,876,365,41.2
Nadong3,S-type Granite,S,Average,Hsieh et al. 2008,,,548,2075,307,18.6,1361,592,2.57,692,151,911,4243,166,404,54.7,355,37.5,5451,,4000,45.6,3477.4,4182.8,0.012,0.012,0.011,4291,0.004,151,911,54.7,4243,166,1361,404,548,307,592,692,355,37.5
Zudi,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,1141,3012,387,359,1645,316,12.8,303,36,189,979,35.5,85.9,10.9,62.6,8.18,669,,2135.1,227.4,1522.6,997.2,0.124,0.126,0.137,6185,0.367,36,189,10.9,979,35.5,1645,85.9,1141,387,316,303,62.6,8.18
Changtai,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,1623,3581,435,249,1906,357,16.3,309,35.1,179,841,31.4,73.8,8.36,50,6.37,810,,2412.2,289.5,1552.8,972.3,0.146,0.15,0.162,7545,0.296,35.1,179,8.36,841,31.4,1906,73.8,1623,435,357,309,50,6.37
Danyang,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,1489,2912,304,97,1156,224,9.29,225,26.1,139,707,26.2,64.5,7.51,45.8,6.22,1114,,1513.5,165,1130.7,723,0.125,0.126,0.139,5861,0.137,26.1,139,7.51,707,26.2,1156,64.5,1489,304,224,225,45.8,6.22
Fuzhou,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,567,2038,313,81.3,1519,510,17.6,554,100,621,3432,119,306,41.8,281,35.1,2908,,3445.9,312.6,2783.9,2770.1,0.1,0.101,0.098,4437,0.024,100,621,41.8,3432,119,1519,306,567,313,510,554,281,35.1
Yanqian,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,3312,5887,514,260,1634,196,29.4,254,19.5,107,726,23.7,67.3,10,68.1,11.6,2027,,1324.3,522.2,1276.4,540.2,0.402,0.402,0.532,11347,0.358,19.5,107,10,726,23.7,1634,67.3,3312,514,196,254,68.1,11.6
Lianjiang,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,1460,3462,432,46.3,1850,375,30.9,360,49.5,286,1634,55.3,142,17,99,11.9,3428,,2533.8,548.8,1809,1371.2,0.253,0.256,0.266,7204,0.028,49.5,286,17,1634,55.3,1850,142,1460,432,375,360,99,11.9
Guidong1,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,732,2124,304,195,1470,327,37.9,297,40.7,223,1183,43.3,107,13.2,84.6,11.9,645,,2209.5,673.2,1492.5,1127.4,0.364,0.371,0.381,4630,0.165,40.7,223,13.2,1183,43.3,1470,107,732,304,327,297,84.6,11.9
Guidong2,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,488,1387,209,170,965,209,24.4,185,23.1,132,768,25.7,66.7,8.44,52.1,8.01,509,,1412.2,433.4,929.6,639.9,0.37,0.378,0.4,3049,0.221,23.1,132,8.44,768,25.7,965,66.7,488,209,209,185,52.1,8.01
Guidong3,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,332,1235,226,30.7,984,426,6.87,493,87.3,446,2619,72.6,187,22.5,131,16.6,6507,,2878.4,122,2477.4,2418.3,0.046,0.046,0.045,2777,0.012,87.3,446,22.5,2619,72.6,984,187,332,226,426,493,131,16.6
Fogang1,Felsic I-type granite,S,Average,Hsieh et al. 2008,,,111,381,69.4,71.7,438,290,5.66,533,123,849,5239,180,489,66.9,417,52.2,799,,1959.5,100.5,2678.4,3407.2,0.043,0.044,0.043,999,0.014,123,849,66.9,5239,180,438,489,111,69.4,290,533,417,52.2
Fogang2,Felsic I-type granite,S,Average,Hsieh et al. 2008,,,336,1300,213,69.2,1045,471,14.6,545,106,644,3163,116,288,36,221,25,5851,,3182.4,259.3,2738.7,2936.3,0.088,0.088,0.084,2894,0.022,106,644,36,3163,116,1045,288,336,213,471,545,221,25
Fogang3,Felsic I-type granite,S,Average,Hsieh et al. 2008,,,232,877,165,52.2,900,337,4.95,393,61,370,2335,72.8,190,23.9,146,20.6,993,,2277,87.9,1974.9,1689.8,0.041,0.041,0.043,2174,0.022,61,370,23.9,2335,72.8,900,190,232,165,337,393,146,20.6
Fogang4,Felsic I-type granite,S,Average,Hsieh et al. 2008,,,797,2325,352,29.6,1765,550,6.63,583,96.7,561,3157,103,266,34.5,214,26.6,2290,,3716.2,117.8,2929.6,2678.7,0.035,0.036,0.035,5239,0.009,96.7,561,34.5,3157,103,1765,266,797,352,550,583,214,26.6
Qitianling,Felsic I-type granite,S,Average,Hsieh et al. 2008,,,3429,6442,668,117,2472,408,7.16,387,45.1,244,1405,47.5,121,15.7,96.8,12.8,708,,2756.8,127.2,1944.7,1249.3,0.054,0.055,0.06,13011,0.083,45.1,244,15.7,1405,47.5,2472,121,3429,668,408,387,96.8,12.8
Lianyang,Felsic I-type granite,S,Average,Hsieh et al. 2008,,,1555,4243,598,57.1,2788,696,6.62,681,98.1,522,2524,95.8,225,26.4,152,19.3,695,,4702.7,117.6,3422.1,2717.5,0.029,0.029,0.03,9184,0.023,98.1,522,26.4,2524,95.8,2788,225,1555,598,696,681,152,19.3
Jiufeng1,Felsic I-type granite,S,Average,Hsieh et al. 2008,,,461,1399,219,166,998,245,14.8,226,31.9,188,1170,37,96.5,12.7,78.4,10.9,656,,1655.4,262.9,1135.7,883.7,0.188,0.192,0.196,3077,0.142,31.9,188,12.7,1170,37,998,96.5,461,219,245,226,78.4,10.9
Jiufeng2,Felsic I-type granite,S,Average,Hsieh et al. 2008,,,940,2437,362,105,1778,483,26.1,474,83.3,505,3497,104,275,40.3,293,39.3,2180,,3263.5,463.6,2381.9,2307.5,0.164,0.166,0.159,5517,0.03,83.3,505,40.3,3497,104,1778,275,940,362,483,474,293,39.3
Dadongshan,Felsic I-type granite,S,Average,Hsieh et al. 2008,,,651,1891,284,54.1,1330,383,5.3,381,62.5,360,2017,68.9,179,25,182,23.9,4087,,2587.8,94.1,1914.6,1731.3,0.042,0.042,0.042,4156,0.027,62.5,360,25,2017,68.9,1330,179,651,284,383,381,182,23.9
Chebu,Mafic Igneous,IM,Average,Hsieh et al. 2008,,,1439,2883,301,239,1127,188,22.6,86,20.6,111,549,21.6,54.9,6.89,44.1,5.93,361,,1270.3,401.4,432.2,570.6,0.472,0.542,0.413,5750,0.435,20.6,111,6.89,549,21.6,1127,54.9,1439,301,188,86,44.1,5.93
Quannan,Mafic Igneous,IM,Average,Hsieh et al. 2008,,,2989,6141,763,35.8,3323,613,40.4,557,65.6,332,1438,59.3,129,14.1,74.4,8.51,915,,4141.9,717.6,2799,1817.2,0.207,0.211,0.228,13216,0.025,65.6,332,14.1,1438,59.3,3323,129,2989,763,613,557,74.4,8.51
Paitan,Mafic Igneous,IM,Average,Hsieh et al. 2008,,,1014,2174,303,518,1516,307,94.6,280,33.5,166,810,29.6,67.2,7.15,41,5.52,680,,2074.3,1680.3,1407,928,0.965,0.984,1.059,5007,0.64,33.5,166,7.15,810,29.6,1516,67.2,1014,303,307,280,41,5.52
Ejinao,Mafic Igneous,IM,Average,Hsieh et al. 2008,,,4006,7692,814,268,2972,416,27.2,384,39.9,208,1051,40,96.3,11.4,66.5,8.29,724,,2810.8,483.1,1929.6,1105.3,0.204,0.207,0.235,15484,0.255,39.9,208,11.4,1051,40,2972,96.3,4006,814,416,384,66.5,8.29
Eclogite1,Eclogite Facies Metabasite,LM,Average,El Korh et al. 2009,0.22,0.19,23,28,5,344,16,3,0.74,2.7,0.56,4.7,30,1.1,3.4,0.43,3.2,0.44,,2,20.3,13.1,13.6,15.5,0.777,0.793,0.709,72,11.467,0.56,4.7,0.43,30,1.1,16,3.4,23,5,3,2.7,3.2,0.44
Eclogite2,Eclogite Facies Metabasite,LM,Average,El Korh et al. 2009,0.06,0.005,8.2,9.8,1.7,342,5.5,1.3,0.3,1.7,0.5,4.2,32,1.1,3.5,0.49,3.1,0.52,,0.8,8.8,5.3,8.5,13.9,0.615,0.615,0.521,25,10.688,0.5,4.2,0.49,32,1.1,5.5,3.5,8.2,1.7,1.3,1.7,3.1,0.52
Blueschist1,Blueschist Facies Metabasite,LM,Average,El Korh et al. 2009,0.03,0.02,50,23,11.3,407,42,7.8,1.6,7.3,1,5.7,38,1.1,4,0.7,6.3,1.2,,1.5,52.7,28.4,36.7,27.7,0.636,0.646,0.668,126,10.711,1,5.7,0.7,38,1.1,42,4,50,11.3,7.8,7.3,6.3,1.2
Blueschist2,Blueschist Facies Metabasite,LM,Average,El Korh et al. 2009,50.003,50.004,8.7,14,3.5,217,12,3.2,0.81,2.5,0.41,2.6,12,0.47,1.7,0.29,2.2,0.43,,0.51,21.6,14.4,12.6,11.4,0.842,0.873,0.825,38,18.083,0.41,2.6,0.29,12,0.47,12,1.7,8.7,3.5,3.2,2.5,2.2,0.43
Blueschist3,Blueschist Facies Metabasite,LM,Average,El Korh et al. 2009,0.21,0.02,7.7,3.4,2.8,324,12,3.2,0.89,3.2,0.52,4.3,32,0.98,3.9,0.55,3,0.43,,5.3,21.6,15.8,16.1,14.4,0.839,0.848,0.837,26,10.125,0.52,4.3,0.55,32,0.98,12,3.9,7.7,2.8,3.2,3.2,3,0.43
Micaschist1,Blueschist Facies Metabasite,LM,Average,El Korh et al. 2009,0.43,0.5,18,60,9.6,937,54,22,6.3,37,8.9,81,545,21,68,11,79,10,,0.77,148.6,111.9,185.9,246.5,0.669,0.673,0.636,142,1.719,8.9,81,11,545,21,54,68,18,9.6,22,37,79,10
Micaschist2,Blueschist Facies Metabasite,LM,Average,El Korh et al. 2009,0.22,0.12,5.7,14,1.8,268,8.4,3.5,0.85,5.5,1.6,16,119,4.6,16,2.8,19,3,,6.5,23.6,15.1,27.6,44.3,0.589,0.591,0.518,30,2.252,1.6,16,2.8,119,4.6,8.4,16,5.7,1.8,3.5,5.5,19,3
Kinzigite1,Lower Crustal Upr Amph.,HM,Average,Bea & Montero 1999,5.09,38,127,622,113,,634,261,93.9,369,63.2,417,1803,77.9,184,22.9,110,14.61,,,1763.5,1667.9,1854.3,1750.7,0.922,0.922,0.948,1496,,63.2,417,22.9,1803,77.9,634,184,127,113,261,369,110,14.61
Kinzigite2,Lower Crustal Upr Amph.,HM,Average,Bea & Montero 1999,4.67,25.3,133,432,81.8,,442,184,54.9,271,43,280,1370,56.9,144,21.2,123,17.29,,,1243.2,975.1,1361.8,1191.1,0.749,0.749,0.796,1089,,43,280,21.2,1370,56.9,442,144,133,81.8,184,271,123,17.29
Kinzigite3,Lower Crustal Upr Amph.,HM,Average,Bea & Montero 1999,2.09,20.3,62.65,302,54,,298,128,43.7,168,28.2,195,1096,40.1,104,15.1,93.2,13.4,,,864.9,776.2,844.2,781.2,0.908,0.908,0.928,717,,28.2,195,15.1,1096,40.1,298,104,62.65,54,128,168,93.2,13.4
Kinzigite4,Lower Crustal Upr Amph.,HM,Average,Bea & Montero 1999,3.61,35.3,166,436,72,,354,128,29,171,30,202,1231,44.8,131,19,117,17.1,,,864.9,515.1,859.3,831,0.598,0.598,0.604,1028,,30,202,19,1231,44.8,354,131,166,72,128,171,117,17.1
Transition1,Lower Crustal Amph.-Granulite transition,HM,Average,Bea & Montero 1999,8.61,16,202,630,96.1,,505,184,47.4,255,41.4,282,1156,54.3,120,15.9,76.4,10.63,,,1243.2,841.9,1281.4,1146.8,0.667,0.667,0.696,1433,,41.4,282,15.9,1156,54.3,505,120,202,96.1,184,255,76.4,10.63
Transition2,Lower Crustal Amph.-Granulite transition,HM,Average,Bea & Montero 1999,10,11.4,188,594,94.1,,533,195,37,259,40.7,251,1126,47.7,115,16.45,84.3,12.3,,,1317.6,657.2,1301.5,1127.4,0.502,0.502,0.525,1409,,40.7,251,16.45,1126,47.7,533,115,188,94.1,195,259,84.3,12.3
Transition3,Lower Crustal Amph.-Granulite transition,HM,Average,Bea & Montero 1999,15.2,3.75,195,472,69,,354,115,28.7,144,24.2,148,603,25.1,55.6,8.07,45.8,6.63,,,777,509.8,723.6,670.4,0.679,0.68,0.689,1090,,24.2,148,8.07,603,25.1,354,55.6,195,69,115,144,45.8,6.63
Stronalite1,Lower Crustal Granulite,HM,Average,Bea & Montero 1999,24.5,1.74,315,673,93.9,,453,130,16.2,121,17.3,100,365,16.9,36.8,4.89,28.6,3.83,,,878.4,287.7,608,479.2,0.387,0.394,0.401,1535,,17.3,100,4.89,365,16.9,453,36.8,315,93.9,130,121,28.6,3.83
Stronalite2,Lower Crustal Granulite,HM,Average,Bea & Montero 1999,19.2,1.38,271,652,81.8,,361,105,11.6,98.2,14.7,81,290,15.7,34.7,4.41,22.7,3.37,,,709.5,206,493.5,407.2,0.343,0.348,0.349,1366,,14.7,81,4.41,290,15.7,361,34.7,271,81.8,105,98.2,22.7,3.37
Stronalite3,Lower Crustal Granulite,HM,Average,Bea & Montero 1999,17.4,1.31,285,650,74.5,,272,73,5.5,55.4,7.98,35.6,104,5.03,12.5,1.71,8.9,1.34,,,493.2,97.7,278.4,221.1,0.253,0.264,0.259,1282,,7.98,35.6,1.71,104,5.03,272,12.5,285,74.5,73,55.4,8.9,1.34
BM901,Lherzolite,UM,Average,O'Reilly & Griffin 2000,181,47,995,1438,168,5831,668,88,30,66,,,160,6.1,12.8,,7.6,1.3,500,159,594.6,532.9,331.7,,1.151,1.2,,3269,36.444,6.896406581,34.63177455,1.845427236,160,6.1,668,12.8,995,168,88,66,7.6,1.3
BM650,Lherzolite,UM,Average,O'Reilly & Griffin 2000,276,141,2416,5082,440,14115,1215,120,34,79,,,168,5.8,12.5,,9.1,1.12,1220,185,810.8,603.9,397,,1,1.064,,9153,84.018,7.726961814,36.27564956,1.668206081,168,5.8,1215,12.5,2416,440,120,79,9.1,1.12
BM655,Lherzolite,UM,Average,O'Reilly & Griffin 2000,592,205,2730,5760,468,18290,1156,117,35,72,,,164,5.5,12.8,,9,1.1,370,151,790.5,621.7,361.8,,1.079,1.162,,10114,111.524,7.467181526,35.18683177,1.631370626,164,5.5,1156,12.8,2730,468,117,72,9,1.1
BM632,Lherzolite,UM,Average,O'Reilly & Griffin 2000,226,66,2466,5752,510,19030,1210,128,36,73,,,146,5.1,10.8,,7.4,0.98,400,359,864.9,639.4,366.8,,1.038,1.135,,9938,130.342,7.139572248,32.93661083,1.457758525,146,5.1,1210,10.8,2466,510,128,73,7.4,0.98
LE15B,Lherzolite,UM,Average,O'Reilly & Griffin 2000,117,30,1542,3120,361,12510,1093,146,43,104,,,238,8.5,17.6,,9.7,1.16,815,239,986.5,763.8,522.6,,1.012,1.064,,6116,52.563,9.419328258,45.26936726,2.191331302,238,8.5,1093,17.6,1542,361,146,104,9.7,1.16
ASK10,Lherzolite,UM,Average,O'Reilly & Griffin 2000,643,137,1172,2430,160,9500,339,30,9.4,19,,,62,2.1,5.5,,4.5,0.63,730,87,202.7,167,95.5,,1.12,1.2,,4101,153.226,2.69548576,13.52876859,0.720071747,62,2.1,339,5.5,1172,160,30,19,4.5,0.63
66AHR,Lherzolite,UM,Average,O'Reilly & Griffin 2000,163,101,747,1115,109,4812,397,43,13,36,,,109,3.7,8.9,,6.4,0.78,660,107,290.5,230.9,180.9,,0.98,1.007,,2368,44.147,4.060882003,20.68937456,1.137887097,109,3.7,397,8.9,747,109,43,36,6.4,0.78
FB1,Lherzolite,UM,Average,O'Reilly & Griffin 2000,50,14,835,2540,245,4125,800,105,32,74,,,200,7.3,17,,12.3,1.2,770,56,709.5,568.4,371.9,,1.051,1.107,,4420,20.625,7.916859545,39.3667803,2.053046227,200,7.3,800,17,835,245,105,74,12.3,1.2
K,Lherzolite,UM,Average,O'Reilly & Griffin 2000,18,6.5,1136,2584,295,8262,1060,155,47,112,,,274,10.1,22.5,,11.7,1.4,730,,1047.3,834.8,562.8,,1.037,1.087,,5075,30.153,10.71418712,52.7104708,2.685438333,274,10.1,1060,22.5,1136,295,155,112,11.7,1.4
K24,Lherzolite,UM,Average,O'Reilly & Griffin 2000,12.2,4.4,862,1925,228,7100,738,108,31,80,,,282,7.2,14.4,,9.8,1.1,820,167,729.7,550.6,402,,0.973,1.017,,3753,25.177,7.581737039,37.44845994,1.924562883,282,7.2,738,14.4,862,228,108,80,9.8,1.1
K30A,Lherzolite,UM,Average,O'Reilly & Griffin 2000,9.8,3.2,207,858,61,2409,237,39,13.8,31,,,75,2,7.6,,4.4,0.5,290,57,263.5,245.1,155.8,,1.169,1.21,,1363,32.12,2.914052112,14.79017675,0.806701739,75,2,237,7.6,207,61,39,31,4.4,0.5
Ef1,Lherzolite,UM,Average,O'Reilly & Griffin 2000,3.5,1.2,1196,3121,343,4272,1064,169,34.7,89,,,216,7.7,18,,12,1.4,660,110,1141.9,616.3,447.2,,0.776,0.862,,5724,19.778,9.56516373,46.25680102,2.269780334,216,7.7,1064,18,1196,343,169,89,12,1.4
AKMeg1,Lherzolite,UM,Average,O'Reilly & Griffin 2000,41,10,540,1711,216,5608,771,133,38.9,88.5,,,139,5.14,8.5,,2.67,0.24,1130,125,898.6,690.9,444.7,,1.029,1.093,,3238,40.345,NA,NA,NA,139,5.14,771,8.5,540,216,133,88.5,2.67,0.24
AB6AP3,I-type Granite,IM,Average,Sha & Chappell 1999,31,9,1310,3200,418,188,1620,299,13,235,34,177,1094,38,103,14,80,10,,,2020.3,230.9,1180.9,941.8,0.144,0.149,0.147,6548,0.172,34,177,14,1094,38,1620,103,1310,418,299,235,80,10
AB46AP-A1,I-type Granite,IM,Average,Sha & Chappell 1999,91,51,602,1478,176,273,634,100,19,80,11,51,356,12,33,5,32,6,,,675.7,337.5,402,304.7,0.626,0.648,0.651,2890,0.767,11,51,5,356,12,634,33,602,176,100,80,32,6
AB149APD1,I-type Granite,IM,Average,Sha & Chappell 1999,230,148,1079,2350,290,399,1080,147,16,107,15,69,385,13,33,5,27,4,,,993.2,284.2,537.7,415.5,0.371,0.389,0.383,4799,1.036,15,69,5,385,13,1080,33,1079,290,147,107,27,4
AB149APG1,I-type Granite,IM,Average,Sha & Chappell 1999,16,151,815,1898,229,312,838,119,11,89,13,63,373,12,31,4,27,4,,,804.1,195.4,447.2,360.1,0.312,0.326,0.318,3780,0.836,13,63,4,373,12,838,31,815,229,119,89,27,4
AB190APG,I-type Granite,IM,Average,Sha & Chappell 1999,649,148,1540,3980,540,362,2180,427,24,369,55,302,1710,58,153,21,126,17,,,2885.1,426.3,1854.3,1523.5,0.18,0.184,0.183,8240,0.212,55,302,21,1710,58,2180,153,1540,540,427,369,126,17
AB195GRAP1,I-type Granite,IM,Average,Sha & Chappell 1999,103,127,1094,2330,273,236,1018,152,20,125,17,84,525,18,46,7,43,8,,,1027,355.2,628.1,470.9,0.429,0.442,0.449,4715,0.45,17,84,7,525,18,1018,46,1094,273,152,125,43,8
AB195MEMAP2,I-type Granite,IM,Average,Sha & Chappell 1999,144,33,1658,4290,635,362,2830,558,51,477,67,336,1690,61,156,20,112,15,,,3770.3,905.9,2397,1856,0.294,0.301,0.304,9413,0.214,67,336,20,1690,61,2830,156,1658,635,558,477,112,15
KB22APB1,I-type Granite,IM,Average,Sha & Chappell 1999,32,23,411,1203,183,176,806,147,14,130,19,104,622,22,60,9,53,8,,,993.2,248.7,653.3,526.3,0.302,0.309,0.309,2603,0.283,19,104,9,622,22,806,60,411,183,147,130,53,8
MG42APB1,I-type Granite,IM,Average,Sha & Chappell 1999,78,54,1051,1916,206,329,717,102,16,90,12,58,332,12,32,4,25,4,,,689.2,284.2,452.3,332.4,0.498,0.509,0.526,3890,0.991,12,58,4,332,12,717,32,1051,206,102,90,25,4
MG42APA1,I-type Granite,IM,Average,Sha & Chappell 1999,55,78,739,1584,182,314,668,106,18,93,13,65,379,13,34,5,30,5,,,716.2,319.7,467.3,360.1,0.54,0.553,0.561,3173,0.828,13,65,5,379,13,668,34,739,182,106,93,30,5
MG44AP1,Felsic I-type granite,S,Average,Sha & Chappell 1999,2,23,96,381,84,94,493,284,11,388,69,472,2000,72,169,69,171,21,,,1918.9,195.4,1949.7,1911.4,0.101,0.101,0.102,1054,0.047,69,472,69,2000,72,493,169,96,84,284,388,171,21
MG44AP2,Felsic I-type granite,S,Average,Sha & Chappell 1999,4,77,268,790,134,58,623,288,13,403,79,588,3020,101,272,79,319,43,,,1945.9,230.9,2025.1,2188.4,0.116,0.116,0.114,1815,0.019,79,588,79,3020,101,623,272,268,134,288,403,319,43
VB230APA1,Felsic I-type granite,S,Average,Sha & Chappell 1999,68,46,855,2650,489,74,2600,882,14,1016,163,979,5240,180,452,163,332,44,,,5959.5,248.7,5105.5,4515.2,0.045,0.045,0.046,6594,0.014,163,979,163,5240,180,2600,452,855,489,882,1016,332,44
VB230APB1,Felsic I-type granite,S,Average,Sha & Chappell 1999,8,7,502,1387,247,118,1294,443,6,510,80,472,2750,89,222,80,165,22,,,2993.2,106.6,2562.8,2216.1,0.038,0.038,0.039,3430,0.043,80,472,80,2750,89,1294,222,502,247,443,510,165,22
BB11AP1,S-type Granite,S,Average,Sha & Chappell 1999,1,45,76,375,78,122,424,215,11,258,44,283,1130,46,105,15,85,11,,,1452.7,195.4,1296.5,1218.8,0.142,0.142,0.143,953,0.108,44,283,15,1130,46,424,105,76,78,215,258,85,11
CB84AP1,S-type Granite,S,Average,Sha & Chappell 1999,5,88,143,526,90,81,439,207,6,263,48,337,1550,57,143,23,161,22,,,1398.6,106.6,1321.6,1329.6,0.078,0.078,0.077,1198,0.052,48,337,23,1550,57,439,143,143,90,207,263,161,22
CB144AP1,S-type Granite,S,Average,Sha & Chappell 1999,2,47,181,638,114,152,565,245,9,300,56,401,1980,76,195,30,191,24,,,1655.4,159.9,1507.5,1551.2,0.101,0.101,0.099,1498,0.077,56,401,30,1980,76,565,195,181,114,245,300,191,24
KB32AP4,S-type Granite,S,Average,Sha & Chappell 1999,19,41,221,655,115,116,570,243,10,289,50,335,1550,61,149,22,138,17,,,1641.9,177.6,1452.3,1385,0.115,0.115,0.114,1561,0.075,50,335,22,1550,61,570,149,221,115,243,289,138,17
